date,Clicks,Impressions
19-10-2022,2851,58598
20-10-2022,2707,57628
21-10-2022,2246,50135
22-10-2022,1686,40608
23-10-2022,1808,41999
24-10-2022,2037,50894
25-10-2022,2594,54118
26-10-2022,2634,56119
27-10-2022,2722,55424
28-10-2022,2462,50140
29-10-2022,2009,43751
30-10-2022,2434,48686
31-10-2022,2877,59173
01-11-2022,3160,63499
02-11-2022,3112,62262
03-11-2022,3504,64754
04-11-2022,2848,56821
05-11-2022,2190,48757
06-11-2022,2957,57175
07-11-2022,3600,66577
08-11-2022,3720,72052
09-11-2022,3460,66740
10-11-2022,3216,61927
11-11-2022,2566,55716
12-11-2022,2248,46012
13-11-2022,2766,51978
14-11-2022,3303,62128
15-11-2022,3522,63646
16-11-2022,3442,61456
17-11-2022,3322,60863
18-11-2022,2756,51510
19-11-2022,2172,44779
20-11-2022,2693,52463
21-11-2022,3647,66160
22-11-2022,3525,66210
23-11-2022,3510,64933
24-11-2022,3117,60396
25-11-2022,2551,52350
26-11-2022,2175,47873
27-11-2022,2690,56491
28-11-2022,3449,69224
29-11-2022,3348,67232
30-11-2022,3330,67120
01-12-2022,3152,63186
02-12-2022,2555,56125
03-12-2022,2129,47422
04-12-2022,2663,57521
05-12-2022,3147,66753
06-12-2022,3227,63195
07-12-2022,3058,63482
08-12-2022,3169,60484
09-12-2022,2687,53403
10-12-2022,2228,48735
11-12-2022,2693,55585
12-12-2022,3275,68639
13-12-2022,3256,70365
14-12-2022,3257,69342
15-12-2022,2991,61929
16-12-2022,2420,52623
17-12-2022,1976,43744
18-12-2022,2205,49776
19-12-2022,2816,64781
20-12-2022,2790,62489
21-12-2022,2653,59125
22-12-2022,2475,57326
23-12-2022,1948,48908
24-12-2022,1503,40551
25-12-2022,1768,41688
26-12-2022,2248,49951
27-12-2022,2361,53652
28-12-2022,2269,51981
29-12-2022,2278,51554
30-12-2022,1884,46294
31-12-2022,1223,36261
01-01-2023,1721,40572
02-01-2023,2442,51399
03-01-2023,2762,57944
04-01-2023,2701,60224
05-01-2023,2726,58803
06-01-2023,2381,52007
07-01-2023,1988,46705
08-01-2023,2495,53475
09-01-2023,2974,62762
10-01-2023,2952,60637
11-01-2023,2902,62548
12-01-2023,2800,58524
13-01-2023,2178,49613
14-01-2023,1687,42636
15-01-2023,2076,47751
16-01-2023,2669,58851
17-01-2023,2874,60651
18-01-2023,2940,63114
19-01-2023,3158,63173
20-01-2023,2555,57440
21-01-2023,1979,50836
22-01-2023,2522,55113
23-01-2023,3159,67136
24-01-2023,3193,68240
25-01-2023,2577,60252
26-01-2023,2762,58511
27-01-2023,2553,57281
28-01-2023,1908,48374
29-01-2023,2527,55202
30-01-2023,3248,65760
31-01-2023,3259,65001
01-02-2023,3046,65027
02-02-2023,2985,64896
03-02-2023,2463,57165
04-02-2023,1918,47150
05-02-2023,2541,59782
06-02-2023,3029,68754
07-02-2023,3236,71859
08-02-2023,3110,69951
09-02-2023,3010,66312
10-02-2023,2405,58349
11-02-2023,1949,50125
12-02-2023,2390,57149
13-02-2023,3060,66150
14-02-2023,2898,63575
15-02-2023,3110,64869
16-02-2023,2812,64048
17-02-2023,2109,55478
18-02-2023,1764,48009
19-02-2023,2384,53480
20-02-2023,3068,65136
21-02-2023,3228,67318
22-02-2023,3171,68558
23-02-2023,2873,63661
24-02-2023,2310,54957
25-02-2023,1817,46957
26-02-2023,2380,53850
27-02-2023,2963,68492
28-02-2023,2749,62679
